Team,Nickname,Full Team Name,School,City,State,Enrollment,Conference,Classification,Stadium,Capacity,Surface,Former Conferences,First Played,Joined FBS or FCS,Lat,Long,Bordering_States,State,case_when
UC Davis,Aggies,UC Davis Aggies,"University of California, Davis",Davis,CA,,Big Sky,FCS,UC Davis Health Stadium,"10,849",,,1915,,38.536556,-121.762778,"'AZ','NV','OR'","'UC Davis',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
UT Martin,Skyhawks,UT Martin Skyhawks,University of Tennessee at Martin,Martin,TN,,Ohio Valley,FCS,Graham Stadium,"8,000",,,1953,,36.344876,-88.861068,"'AL','AR','GA','KY','MS','MO','NC','VA'","'UT Martin',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Valparaiso,Crusaders,Valparaiso Crusaders,Valparaiso University,Valparaiso,IN,,Pioneer,FCS,Brown Field,"5,000",,,1906,,41.465647,-87.047928,"'IL','KY','MI','OH'","'Valparaiso',","stateProvince=='IN'&college_state %in% c('IL','KY','MI','OH') ~ 'Bordering State'"
Villanova,Wildcats,Villanova Wildcats,Villanova University,Villanova,PA,,CAA,FCS,Villanova Stadium,"12,500",,,1894,,40.032968,-75.33666,"'DE','MD','NJ','NY','OH','WV'","'Villanova',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
VMI,Keydets,VMI Keydets,Virginia Military Institute,Lexington,VA,,Southern,FCS,Alumni Memorial Field,"10,000",,,1873,,37.789056,-79.4349,"'KY','MD','NC','TN','WV'","'VMI',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Wagner,Seahawks,Wagner Seahawks,Wagner College,Staten Island,NY,,Northeast,FCS,Wagner College Stadium,"3,300",,,1927,,40.617465,-74.094862,"'CT','MA','NJ','PA','RI','VT'","'Wagner',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Weber State,Wildcats,Weber State Wildcats,Weber State University,Ogden,UT,,Big Sky,FCS,Stewart Stadium,"17,000",,,1962,,41.191943,-111.940069,"'AZ','CO','ID','NV','NM','WY'","'Weber State',","stateProvince=='UT'&college_state %in% c('AZ','CO','ID','NV','NM','WY') ~ 'Bordering State'"
Western Carolina,Catamounts,Western Carolina Catamounts,Western Carolina University,Cullowhee,NC,,Southern,FCS,E. J. Whitmire Stadium,"13,742",,,1931,,35.304771,-83.182546,"'GA','SC','TN','VA'","'Western Carolina',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Western Illinois,Leathernecks,Western Illinois Leathernecks,Western Illinois University,Macomb,IL,,Missouri Valley,FCS,Hanson Field,"16,368",,,1903,,40.468409,-90.684196,"'IN','IA','MI','KY','MO','WI'","'Western Illinois',","stateProvince=='IL'&college_state %in% c('IN','IA','MI','KY','MO','WI') ~ 'Bordering State'"
William & Mary,Tribe,William & Mary Tribe,College of William & Mary,Williamsburg,VA,,CAA,FCS,Zable Stadium,"12,259",,,1893,,37.272933,-76.714321,"'KY','MD','NC','TN','WV'","'William & Mary',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Wofford,Terriers,Wofford Terriers,Wofford College,Spartanburg,SC,,Southern,FCS,Gibbs Stadium,"13,000",,,1889,,34.961878,-81.932873,"'GA','NC'","'Wofford',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Yale,Bulldogs,Yale Bulldogs,Yale University,New Haven,CT,,Ivy,FCS,Yale Bowl,"61,446",,,1872,,41.313226,-72.960501,"'MA','NY','RI'","'Yale',","stateProvince=='CT'&college_state %in% c('MA','NY','RI') ~ 'Bordering State'"
Youngstown State,Penguins,Youngstown State Penguins,Youngstown State University,Youngstown,OH,,Missouri Valley,FCS,Stambaugh Stadium,"20,650",,,1938,,41.109451,-80.649341,"'IN','KY','MI','PA','WV'","'Youngstown State',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Savannah State,Tigers,Savannah State Tigers,Savannah State University,Savannah,GA,3688,SIAC,"Formerly FCS, now DII",Ted Wright Stadium,"13,500",FieldTurf[,MEAC,1902,,32.027593,-81.068673,,"'Savannah State',",stateProvince=='GA'&college_state %in% c() ~ 'Bordering State'
